ID,Year,PP (Y), TC (X1) ,II (X2),ATB (X3),ML (Z)
1,2017,0.083010,0.003019,0.051801,0.000030,0.018168
1,2018,0.086769,0.002451,0.045444,0.000000,-0.015464
1,2019,0.125895,0.006800,0.042663,0.015027,-0.000878
1,2020,0.094066,0.007289,0.045344,0.018680,-0.000298
1,2021,0.189293,0.003450,0.047660,0.014724,0.027302
2,2017,-0.020223,0.062814,0.070690,0.044778,0.017779
2,2018,0.019962,0.131242,0.070200,0.042750,0.019741
2,2019,-0.074226,0.104772,0.089987,0.037765,0.032031
2,2020,-0.145052,0.100874,0.060794,0.035534,-0.061334
2,2021,0.034896,0.029059,0.047861,0.031682,0.003122
3,2017,0.034158,0.172013,0.063644,0.000000,0.200009
3,2018,-0.098927,0.221529,0.068033,0.000000,-0.001882
3,2019,0.051558,0.122843,0.052447,0.000000,-0.010574
3,2020,-0.119961,0.100393,0.056897,0.000000,-0.007401
3,2021,0.005705,0.051304,0.049897,0.000000,-0.006534
4,2017,0.104028,0.014730,0.032257,0.000000,-0.094025
4,2018,0.116510,0.013721,0.035514,0.000000,-0.279115
4,2019,0.064063,3.200000,0.041744,0.000000,-0.169226
4,2020,0.004173,0.001885,0.046006,0.000000,-0.123806
4,2021,0.098621,-0.021277,0.052992,0.000000,-0.134217
5,2017,-0.108756,0.074737,0.105959,0.016043,0.005228
5,2018,-0.079666,0.073327,0.110520,0.016895,-0.004806
5,2019,-0.045979,0.088718,0.098735,0.015584,0.005418
5,2020,0.026250,0.022701,0.079028,0.008961,-0.373324
5,2021,0.022858,0.001618,0.070124,0.000000,0.140330
6,2017,0.047334,0.009252,0.041336,0.000000,0.047211
6,2018,0.019886,0.017878,0.062257,0.000000,0.055470
6,2019,0.022467,0.032577,0.061867,0.000000,0.009011
6,2020,0.103724,0.016225,0.072582,0.000000,-0.026645
6,2021,0.107116,0.011807,0.075253,0.000000,0.049320
7,2017,0.046940,0.036385,0.114178,0.003520,0.035527
7,2018,0.060812,0.057341,0.115913,0.003056,0.050595
7,2019,0.064472,0.040743,0.135251,0.002072,0.057578
7,2020,-0.002337,0.010020,0.121065,0.001673,0.001226
7,2021,0.002397,0.002155,0.083473,0.001189,-0.063123
8,2017,0.188665,0.008048,0.140462,0.007685,-0.057429
8,2018,0.120430,0.004444,0.120532,0.001611,0.007438
8,2019,0.129651,0.004304,0.128844,0.001641,-0.006306
8,2020,0.147614,0.003195,0.099641,0.001553,-0.113450
8,2021,0.178867,0.001182,0.086543,0.001212,-0.079177
9,2017,-0.247682,0.051932,0.097673,0.000000,0.134193
9,2018,0.021030,0.038471,0.071122,0.003206,-0.075482
9,2019,0.028786,0.047690,0.127437,0.002981,0.187567
9,2020,-0.145749,0.086042,0.081053,0.002943,-0.042635
9,2021,0.087954,0.065055,0.087581,0.003160,0.025474
10,2017,0.148363,0.005919,0.115797,0.000000,0.047471
10,2018,0.046344,0.003810,0.169404,0.000000,-0.003748
10,2019,-0.047499,0.046742,0.118786,0.000000,-0.031941
10,2020,-0.032799,0.046299,0.073231,0.000000,-0.111927
10,2021,-0.051534,0.045317,0.088122,0.000000,-0.005755
11,2017,0.132825,0.008908,0.088169,0.000738,-0.063607
11,2018,0.102871,0.015441,0.098446,0.000000,-0.036394
11,2019,-1.513322,0.026005,0.086898,0.000000,-0.014595
11,2020,0.185521,0.014728,0.077529,0.000000,-0.044403
11,2021,0.130237,0.006865,0.093602,0.000000,0.003802
12,2017,-0.065940,0.057096,0.192182,0.021585,0.027761
12,2018,-0.070502,0.028481,0.128564,0.140173,-0.072296
12,2019,-0.064945,0.012044,0.162501,0.108648,0.045504
12,2020,-0.066245,0.036900,0.121031,0.096573,0.044077
12,2021,-0.027766,0.088704,0.115002,0.001226,-0.099117
13,2017,-0.005681,0.035415,0.095984,0.004236,0.164946
13,2018,-0.014618,0.049888,0.086294,0.003650,-0.003342
13,2019,-0.047405,0.074792,0.084477,0.004049,-0.036213
13,2020,0.007792,0.040913,0.098398,0.003781,0.022143
13,2021,-0.015235,0.037642,0.125119,0.003421,0.049434
14,2017,-0.048466,0.033347,0.131267,0.065010,0.039493
14,2018,0.050689,0.026706,0.126272,0.054218,0.072679
14,2019,-0.421385,0.047407,0.109925,0.000000,-0.034779
14,2020,-0.161849,0.039885,0.103200,0.000000,-0.056331
14,2021,-0.019642,0.015301,0.134115,0.000000,0.028333
15,2017,0.204678,-0.236472,0.211082,0.000000,-0.035838
15,2018,0.184573,-0.133076,0.152394,0.000000,-0.117274
15,2019,-0.155438,0.681404,0.133004,0.000000,-0.018300
15,2020,-0.481519,0.259259,0.116832,0.000000,0.000967
15,2021,0.031634,0.245844,0.134422,0.000000,0.040746
16,2017,0.095965,0.001174,0.098421,0.000000,0.033968
16,2018,0.052658,0.001304,0.106381,0.000000,-0.043756
16,2019,0.009228,0.007512,0.096516,0.000000,-0.029532
16,2020,-0.002575,0.004476,0.084047,0.000000,-0.077812
16,2021,0.016420,0.001776,0.136979,0.000000,0.123297
17,2017,0.008483,0.020639,0.129576,0.000168,-0.004396
17,2018,-0.067333,0.024479,0.128158,0.055663,-0.028256
