ID	Year	PP(Y)	TC(X1)	II(X2)	ATB(X3)	ML(Z)
1	2017	0,083010	0,003019	0,051801	0,000030	0,018168
1	2018	0,086769	0,002451	0,045444	0,000000	-0,015464
1	2019	0,125895	0,006800	0,042663	0,015027	-0,000878
1	2020	0,094066	0,007289	0,045344	0,018680	-0,000298
1	2021	0,189293	0,003450	0,047660	0,014724	0,027302
2	2017	-0,020223	0,062814	0,070690	0,044778	0,017779
2	2018	0,019962	0,131242	0,070200	0,042750	0,019741
2	2019	-0,074226	0,104772	0,089987	0,037765	0,032031
2	2020	0,014277013	0,006348297	0,058286995	0,025698687	0,036323802
2	2021	0,016708809	0,009241672	0,057849201	0,02921558	0,034652054
3	2017	0,018640938	0,00705809	0,059871431	0,02921558	0,0408148
3	2018	0,016664478	0,004611976	0,062690407	0,029990341	0,040703199
3	2019	0,020830338	0,002437123	0,063479631	0,030359246	0,039561416
3	2020	0,016242637	0,000382716	0,064505946	0,031167664	0,034604304
3	2021	0,01912349	-0,000896183	0,062195645	0,028661235	0,031902935
4	2017	0,028464095	0,002198682	0,057979709	0,026355695	0,037934521
4	2018	0,033162371	0,00488742	0,051927072	0,024604013	0,047310147
4	2019	0,043003288	0,004341573	0,049810306	0,023100233	0,02874263
4	2020	0,039589653	0,001322215	0,049604255	0,022024444	0,028929698
4	2021	0,037863394	0,0008694	0,048420707	0,022024444	0,02695374
5	2017	0,03575419	0,010864126	0,045372093	0,021362545	0,027743767
5	2018	0,038877247	0,020376447	0,044105995	0,020795331	0,028384661
5	2019	0,043096658	0,031349443	0,048754688	0,020082396	0,031221381
5	2020	0,045379402	0,028171351	0,051991495	0,020086246	0,032122041
5	2021	0,03636059	0,026714456	0,056198899	0,020086246	0,039489246
6	2017	0,028674324	0,026217825	0,056845853	0,020086246	0,0318003
6	2018	0,023765815	0,029870942	0,059125149	0,020086246	0,030827421
6	2019	0,025798451	0,033281176	0,060887415	0,020086246	0,031294641
6	2020	0,035254337	0,03744806	0,063064092	0,017641802	0,045119897
6	2021	0,049475611	0,030455863	0,066914923	0,015859257	0,050019022
7	2017	0,045839447	0,026351227	0,066955573	0,014373136	0,054500413
7	2018	0,050820987	0,02286489	0,060606257	0,012981183	0,059520092
7	2019	0,055067912	0,024869545	0,057964363	0,010738682	0,065742963
7	2020	0,052268414	0,025803156	0,054851349	0,008480168	0,050286933
7	2021	0,047275388	0,025014597	0,059533163	0,006167838	0,045298188
8	2017	0,047139618	0,023922354	0,057509713	0,004577281	0,039294063
8	2018	0,045802128	0,0207964	0,055308215	0,002311795	0,054267989
8	2019	0,036460644	0,019471821	0,0520085	0,002494171	0,03727343
8	2020	0,026516003	0,018514882	0,054718196	0,00266674	0,047498424
8	2021	0,041174518	0,014603473	0,059732148	0,002410352	0,06485934
9	2017	0,036058492	0,014002573	0,065963453	0,002070796	0,074147952
9	2018	0,031231546	0,013750161	0,067726856	0,002196803	0,084952268
9	2019	0,034689686	0,017935714	0,067797651	0,002342044	0,088990134
9	2020	0,031692847	0,02725656	0,067528798	0,002536896	0,083995933
9	2021	0,031613926	0,03359072	0,072365984	0,002034069	0,08666718
10	2017	0,032495389	0,033754716	0,072313372	0,001855109	0,075966642
10	2018	0,035461285	0,033699757	0,072764038	0,001672734	0,076250865
10	2019	0,035448507	0,038538333	0,066346027	0,001500165	0,056996871
10	2020	0,021440952	0,04355136	0,064866881	0,001365443	0,042273924
10	2021	0,026637099	0,04281626	0,06380562	0,001365443	0,026724185
11	2017	0,039058807	0,039531483	0,065699751	0,001091218	0,023196314
11	2018	0,047290404	0,0359482	0,071888924	0,000760046	0,021968825
11	2019	0,051702421	0,029277376	0,072538409	0,00043308	0,025084475
11	2020	0,051432088	0,023685493	0,0714215	8,20208E-05	0,024861824
11	2021	0,06386252	0,023790505	0,077201812	8,20208E-05	0,020009719
12	2017	0,061262025	0,029711262	0,077454898	0,002480387	0,034177409
12	2018	0,067151266	0,027682193	0,077563544	0,018055181	0,051388973
12	2019	0,066189628	0,02387599	0,074565656	0,030127139	0,049859651
12	2020	0,064369375	0,022940855	0,069452481	0,040857435	0,055396529
12	2021	0,046525893	0,03180705	0,064267066	0,040911616	0,050513285
13	2017	0,034464647	0,034026487	0,06399344	0,0413823	0,047206054
13	2018	0,031158982	0,036680174	0,063926347	0,041787815	0,048456385
13	2019	0,031368293	0,04335393	0,064698331	0,042237719	0,041824943
13	2020	0,017763335	0,047137081	0,06523112	0,042657831	0,04386283
13	2021	0,013521678	0,044975502	0,064485977	0,040639572	0,035604253
14	2017	0,0077399	0,045516192	0,065420479	0,032288125	0,026329798
14	2018	0,008467028	0,047145305	0,065017932	0,026240393	0,029349149
14	2019	0,004798941	0,048312695	0,064894533	0,015510096	0,020587384
14	2020	0,004974668	0,042888339	0,064763401	0,015373895	0,006648752
14	2021	0,003423356	0,040653351	0,060111332	0,014903211	0,010157468
15	2017	0,027789545	0,028038316	0,062865551	0,014497696	0,00654673
15	2018	0,027474845	0,012693899	0,058505867	0,014047792	0,026317854
15	2019	0,02377085	0,0063909	0,053462166	0,01362768	0,021824137
